Year,Date,Open,High,Low,Close,Adj Close,Volume
2016,10,448.2,448.3,440.4,448,448,36.00000
2016,11,448.7,450.7,443.9,448.4,448.4,40.50000
2016,12,448.2,448.2,435.7,435.7,435.7,116.00000
2016,13,434.7,435.2,424.4,432.4,432.4,174.00000
2016,14,432.3,433.3,427.8,430.3,430.3,43.90000
2016,15,430.3,430.3,364.3,364.3,364.3,153.00000
2016,16,365.1,390.6,354.9,387.5,387.5,120.00000
2016,17,387.2,391,380.1,382.3,382.3,45.30000
2016,18,381.7,388.1,376.7,387.2,387.2,54.40000
2016,19,387,387.7,379,380.1,380.1,46.80000
2016,20,379.7,425.3,376.6,420.2,420.2,122.00000
2016,21,419.6,422.9,406.3,410.3,410.3,68.30000
2016,22,409.8,410.4,375.3,382.5,382.5,91.50000
2016,23,382.4,394.5,382,387.5,387.5,56.20000
2016,24,388.1,405.5,387.5,403,403,54.80000
2016,25,402.3,402.3,388.6,391.7,391.7,59.10000
2016,26,392,397.8,390.6,392.2,392.2,58.10000
2016,27,392.4,396.8,391.8,395,395,47.40000
2016,28,395.1,395.5,379.7,380.3,380.3,59.20000
2016,29,380.1,384.4,365.5,379.5,379.5,86.10000
2016,30,378.9,380.9,376.5,378.3,378.3,30.30000
2016,31,378.3,380.3,367.8,368.8,368.8,37.90000
2016,1,369.4,378.1,368,373.1,373.1,51.70000
2016,2,372.9,375.9,372.9,374.4,374.4,40.40000
2016,3,374.6,375,368,369.9,369.9,45.90000
2016,4,370.2,391.6,370,389.6,389.6,69.30000
2016,5,388.9,391.1,385.6,386.5,386.5,43.80000
2016,6,386.6,386.6,372.4,376.5,376.5,49.20000
2016,7,376.5,380.9,374.9,376.6,376.6,37.10000
2016,8,376.8,379.9,373.3,373.4,373.4,47.70000
2016,9,373.4,377.2,372.9,376,376,55.30000
2016,10,376.1,385.5,375.8,381.6,381.6,85.10000
2016,11,382.1,383.1,376.4,379.7,379.7,74.40000
2016,12,379.7,385,379.6,384.3,384.3,67.00000
2016,13,384.6,391.9,384.6,391.9,391.9,61.90000
2016,14,392.9,407.2,392.9,407.2,407.2,74.50000
2016,15,407.6,410.4,397.7,400.2,400.2,74.10000
2016,16,401.4,408.9,401.4,407.5,407.5,73.10000
2016,17,407.7,421.2,406.8,416.3,416.3,83.20000
2016,18,416.6,426,415.6,422.4,422.4,76.80000
2016,19,422.7,423.1,417.6,420.8,420.8,55.70000
2016,20,421.6,442,421.6,437.2,437.2,94.00000
2016,21,437.8,448,429.1,438.8,438.8,89.80000
2016,22,439,439,432.9,437.7,437.7,85.40000
2016,23,438.3,439.9,417.8,420.7,420.7,85.20000
2016,24,421,425.5,413.9,425,425,67.70000
2016,25,425,427.7,420.4,424.5,424.5,70.80000
2016,26,424.6,432.2,421.6,432.2,432.2,61.50000
2016,27,432.8,434.2,428.1,432.5,432.5,41.90000
2016,28,432.6,435.7,423.8,433.5,433.5,53.00000
2016,29,433.4,441.5,431.7,437.7,437.7,60.70000
2016,1,437.9,439.7,432.3,435.1,435.1,74.90000
2016,2,435.1,435.9,424,424,424,75.00000
2016,3,423.9,425.4,419.4,421.7,421.7,100.00000
2016,4,421.8,425.2,410.9,410.9,410.9,90.90000
2016,5,410.8,411.3,394,400.6,400.6,135.00000
2016,6,400.5,411.9,395.8,407.7,407.7,91.20000
2016,7,407.8,415.9,406.3,414.3,414.3,85.80000
2016,8,414.5,416.2,411.1,414,414,70.30000
2016,9,413.9,416,411.6,414.9,414.9,70.00000
2016,10,414.7,417.5,413.3,417.1,417.1,81.00000
2016,11,417.2,423.9,417,421.7,421.7,74.00000
2016,12,421.6,421.8,410.1,411.6,411.6,92.70000
2016,13,411.6,416.6,411.6,414.1,414.1,74.30000
2016,14,414.2,416.7,414.2,416.4,416.4,95.30000
2016,15,416.4,418.1,415,416.8,416.8,66.80000
2016,16,416.9,417.7,415.9,417,417,65.20000
2016,17,417.9,421,417.9,420.6,420.6,83.50000
2016,18,420.5,420.5,406.1,409.5,409.5,105.00000
2016,19,409.3,411,407.2,410.4,410.4,58.40000
2016,20,410.4,414.6,410.4,413.8,413.8,45.90000
2016,21,413.4,413.4,410.4,413.3,413.3,61.70000
2016,22,413.1,418.4,412.5,418.1,418.1,66.80000
2016,23,418.2,419.3,417.4,418,418,61.40000
2016,24,418.4,418.7,415.5,416.4,416.4,68.30000
2016,25,416.5,418.1,415.6,417.2,417.2,52.60000
2016,26,417.4,419,416.3,417.9,417.9,44.70000
2016,27,418.1,428.8,417.7,426.8,426.8,71.20000
2016,28,426.5,426.9,423.3,424.2,424.2,68.50000
2016,29,424.3,426.2,412.7,416.5,416.5,75.40000
2016,30,416.8,416.8,412.5,414.8,414.8,66.00000
2016,31,415.3,418.4,415.3,416.7,416.7,60.20000
2016,1,416.8,418.2,415.8,418,418,51.20000
2016,2,418.4,422.1,418.4,420.9,420.9,45.70000
2016,3,421.2,421.6,419.7,420.9,420.9,38.10000
2016,4,421.3,422.3,419.6,421.4,421.4,50.60000
2016,5,421,424.3,420.6,424,424,60.70000
2016,6,424.3,424.5,422.7,423.4,423.4,59.10000
2016,7,423.6,423.7,420.5,422.7,422.7,57.90000
2016,8,422.9,425.4,419.6,420.3,420.3,63.50000
2016,9,420.8,420.9,416.5,419.4,419.4,49.80000
2016,10,419.6,422.4,419.3,421.6,421.6,73.50000
2016,11,421.9,422.7,420.5,422.5,422.5,50.70000
2016,12,422.8,427.3,422.8,425.2,425.2,70.70000
2016,13,425.6,426.7,422.9,423.7,423.7,69.10000
2016,14,423.9,425.4,423,424.3,424.3,45.30000
2016,15,424.4,429.9,424.4,429.7,429.7,54.80000
2016,16,429.6,432.6,429,430.6,430.6,39.40000
2016,17,430.6,431.4,426.1,427.4,427.4,52.10000
